Ogooué,Ivindo,Léconi
250.8,919.8,263.2
507,1654.1,265
509.7,2115.9,486.1
536.5,2120,508.4
557.7,2162.4,509.9
565.4,2609,530.4
568,2609.2,537.4
572.6,2658.2,538.6
575,2658.7,551.5
584,2663.6,562.4
595.2,2673.5,582.6
596,2690.7,588.4
607.2,2696.4,591.7
607.9,2723.8,596.5
609.1,2729.6,598.8
612.9,2732.4,604.5
614.2,2737.8,609.3
617,2745.5,612.9
621.1,2763.1,614
623.7,2785.9,616.7
626.1,2804,622.6
632.5,2807.2,623.2
638.5,2809.4,625.7
647.4,2812.7,626
655.1,2814.1,626.2
656.2,2820.6,626.2
656.6,2822.2,629.2
669.9,2825.6,630.5
715.3,2825.8,631.4
720,2830.2,633.8
748.8,2833.4,642
768.3,2835.4,650.2
790.9,2841.4,657.5
797.6,2844.1,717.3
871.2,2852.4,724.3
878.4,2854,731.6
985.5,2856.5,784.2
1023.5,2858.1,804.5
1039.7,2859.7,812.9
1045.9,2861.3,829.9
1056.9,2863.7,900.7
1133.8,2863.9,933.5
1305.1,2864.3,956.9
1435,2866.3,967.6
1704.6,2866.4,971.3
1723.4,2866.9,974.4
1752,2867.5,978.8
1845.3,2870.1,979.7
1861.3,2871.9,984.1
1893.7,2878.8,986.4
2000.1,2879.1,989.2
2005.7,2885.1,995.3
2229.4,2885.2,996.6
2403.9,2887,1003.7
2447.6,2888.9,1004.9
2488.7,2889.8,1011.1
2499.4,2896.8,1025
2537.9,2897,1029.6
2553.2,2902.1,1035.8
2555.6,2904.7,1040.6
2559.1,2905.1,1044.2
2577.2,2905.2,1049.9
2581.9,2909.1,1055.8
2752.9,2909.7,1062.4
2760.1,2912.6,1154.4
2769.5,2920.4,1635.6
2791.1,2928,1639.5
2792,2933.9,1677.5
2833.7,2942.8,1769.1
2835.7,2945.3,1776.2
2841.3,2946,1821.5
2847.6,2952.9,1909.3
2849.6,2957.5,1923.9
2852.2,2958.2,1935.3
2852.4,2959,1968.3
2856.5,2960.1,1974.3
2858.2,2970.2,1992.1
2861,2970.6,2057.4
2863.4,2973.7,2064.1
2867,2984.5,2067.9
2871.2,2985.5,2091.2
2891.8,3006.1,2096.2
2894.3,3007.7,2110.8
2922.9,3010.7,2127.6
2923.3,3017.2,2156.4
2928.7,3023.6,2177.2
2948.9,3033.2,2195.6
2954.2,3071.3,2385.1
2968.7,3073.5,2467.7
2969.6,3088.2,2468.3
2974.8,3101.9,2474.5
3118.2,3110.6,2478.1
3188.3,3139.8,2496.3
3241.1,3172.2,2524.6
3338.7,3202.8,2540
3355.1,3211.9,2584.1
4164.5,3253.7,2744.4
,,2750.7
,,2820.9
,,2831.6
,,2852.1
,,3002.4
